Tanggal;Tavg
23-10-2021;26.2
24-10-2021;25.9
25-10-2021;26
26-10-2021;26.8
27-10-2021;27.2
28-10-2021;27.9
29-10-2021;27.2
30-10-2021;26.2
31-10-2021;25.9
01-11-2021;26.1
02-11-2021;27.3
03-11-2021;24.8
04-11-2021;26.8
05-11-2021;26
06-11-2021;25.9
07-11-2021;25.1
08-11-2021;25.4
09-11-2021;27.8
10-11-2021;26.8
11-11-2021;26.9
12-11-2021;28.2
13-11-2021;26.8
14-11-2021;28.4
15-11-2021;27.6
16-11-2021;27.2
17-11-2021;27.3
18-11-2021;27.6
19-11-2021;28.2
20-11-2021;28.7
21-11-2021;26.7
22-11-2021;27.8
23-11-2021;26.6
24-11-2021;28
25-11-2021;28.3
26-11-2021;29.1
27-11-2021;26.8
28-11-2021;28
29-11-2021;28.2
30-11-2021;25.2
01-12-2021;27.7
02-12-2021;27.6
03-12-2021;28.6
04-12-2021;28.7
05-12-2021;26.2
06-12-2021;28.1
07-12-2021;27.9
08-12-2021;28
09-12-2021;27.6
10-12-2021;27.3
11-12-2021;27.4
12-12-2021;27.3
13-12-2021;27.4
14-12-2021;27.2
15-12-2021;27.5
16-12-2021;26.7
17-12-2021;24.3
18-12-2021;24.3
19-12-2021;27.1
20-12-2021;26
21-12-2021;27.5
22-12-2021;26.8
23-12-2021;26.8
24-12-2021;28.1
25-12-2021;28.6
26-12-2021;27.9
27-12-2021;28
28-12-2021;27.9
29-12-2021;27.9
30-12-2021;28.1
31-12-2021;27
01-01-2022;27.1
02-01-2022;26.9
03-01-2022;27
04-01-2022;27.3
05-01-2022;27.8
06-01-2022;27.7
07-01-2022;27.9
08-01-2022;27.7
09-01-2022;26.7
10-01-2022;26.8
11-01-2022;27
12-01-2022;28.1
13-01-2022;27.4
14-01-2022;27.9
15-01-2022;27.4
16-01-2022;28
17-01-2022;27
18-01-2022;26.4
19-01-2022;25.6
20-01-2022;27.7
21-01-2022;27.3
22-01-2022;27.2
23-01-2022;26.8
24-01-2022;25.9
25-01-2022;27.1
26-01-2022;27.9
27-01-2022;27.6
28-01-2022;28.5
29-01-2022;28.2
30-01-2022;27.2
31-01-2022;27.4
01-02-2022;27.5
02-02-2022;27.8
03-02-2022;27.8
04-02-2022;26.2
05-02-2022;25.4
06-02-2022;26
07-02-2022;27.8
08-02-2022;28
09-02-2022;28.3
10-02-2022;27.7
11-02-2022;27.4
12-02-2022;28
13-02-2022;28
14-02-2022;27.4
15-02-2022;27.7
16-02-2022;26.1
17-02-2022;28.2
18-02-2022;27.9
19-02-2022;28.3
20-02-2022;27.6
21-02-2022;28.8
22-02-2022;27.8
23-02-2022;28
24-02-2022;28.1
25-02-2022;27.8
26-02-2022;27.4
27-02-2022;28.3
28-02-2022;28.4
01-03-2022;27.3
02-03-2022;27.1
03-03-2022;26.3
04-03-2022;27.6
05-03-2022;28.1
06-03-2022;26.9
07-03-2022;27.2
08-03-2022;28
09-03-2022;28
10-03-2022;28
11-03-2022;27.6
12-03-2022;27.9
13-03-2022;27.7
14-03-2022;26.8
15-03-2022;28.3
16-03-2022;27.9
17-03-2022;26.1
18-03-2022;24.8
19-03-2022;27.4
20-03-2022;26.8
21-03-2022;28.4
22-03-2022;28.2
23-03-2022;28.4
24-03-2022;27
25-03-2022;26.9
26-03-2022;27.9
27-03-2022;27.9
28-03-2022;27
29-03-2022;27.1
30-03-2022;27.7
31-03-2022;28.2
01-04-2022;27
02-04-2022;27.8
03-04-2022;27.9
04-04-2022;27.9
05-04-2022;28.4
06-04-2022;28
07-04-2022;27.1
08-04-2022;27.2
09-04-2022;28.2
10-04-2022;27.5
11-04-2022;27.5
12-04-2022;27.5
13-04-2022;28.1
14-04-2022;28.2
15-04-2022;28.4
16-04-2022;28.5
17-04-2022;28.8
18-04-2022;26.2
19-04-2022;27.8
20-04-2022;27.3
21-04-2022;27.3
22-04-2022;27.9
23-04-2022;27.7
24-04-2022;27.6
25-04-2022;26.8
26-04-2022;28.4
27-04-2022;28.1
28-04-2022;27.8
29-04-2022;28.6
30-04-2022;28.4
01-05-2022;27.8
02-05-2022;26.8
03-05-2022;27.6
04-05-2022;27.4
05-05-2022;27.9
06-05-2022;27.1
07-05-2022;26.1
08-05-2022;27.9
09-05-2022;29.1
10-05-2022;29.2
11-05-2022;27.5
12-05-2022;27.9
13-05-2022;28.1
14-05-2022;27.9
15-05-2022;28.3
16-05-2022;27.2
17-05-2022;27.7
18-05-2022;26.7
19-05-2022;27.6
20-05-2022;28.1
21-05-2022;28.1
22-05-2022;28.2
23-05-2022;28
24-05-2022;26.8
25-05-2022;26.9
26-05-2022;28.2
27-05-2022;27.7
28-05-2022;25.8
29-05-2022;27.7
30-05-2022;28.3
31-05-2022;28.4
01-06-2022;27.9
02-06-2022;27.5
03-06-2022;26.2
04-06-2022;27.3
05-06-2022;27.8
06-06-2022;27.1
07-06-2022;26.5
08-06-2022;26.6
09-06-2022;26.6
10-06-2022;25.7
11-06-2022;25.1
12-06-2022;26.1
13-06-2022;27.2
14-06-2022;26.1
15-06-2022;24.2
16-06-2022;26
17-06-2022;26.8
18-06-2022;26.5
19-06-2022;26.7
20-06-2022;26.3
21-06-2022;27.5
22-06-2022;26.6
23-06-2022;25.1
24-06-2022;24.3
25-06-2022;25.9
26-06-2022;27.2
27-06-2022;28
28-06-2022;26.7
29-06-2022;24.2
30-06-2022;25.6
01-07-2022;25.7
02-07-2022;26.1
03-07-2022;26.5
04-07-2022;27.7
05-07-2022;28.7
06-07-2022;28.1
07-07-2022;28.4
08-07-2022;27.9
09-07-2022;27.3
10-07-2022;26.4
11-07-2022;28.1
12-07-2022;28.1
13-07-2022;28
14-07-2022;28.4
15-07-2022;27.8
16-07-2022;28
17-07-2022;27.6
18-07-2022;27
19-07-2022;27.3
20-07-2022;27.8
21-07-2022;27.3
22-07-2022;27.2
23-07-2022;28
24-07-2022;26.3
25-07-2022;24.1
26-07-2022;26.7
27-07-2022;26.4
28-07-2022;27.1
29-07-2022;26.5
30-07-2022;27.1
31-07-2022;27.5
01-08-2022;28.5
02-08-2022;27.1
03-08-2022;27
04-08-2022;26.6
05-08-2022;27
06-08-2022;27.9
07-08-2022;27.3
08-08-2022;27.8
09-08-2022;27.7
10-08-2022;27.4
11-08-2022;27.9
12-08-2022;28
13-08-2022;28.1
14-08-2022;25.6
15-08-2022;27.4
16-08-2022;27.8
17-08-2022;27.7
18-08-2022;27.8
19-08-2022;27.9
20-08-2022;24.9
21-08-2022;25.5
22-08-2022;27.1
23-08-2022;26.5
24-08-2022;26.9
25-08-2022;25.2
26-08-2022;27.1
27-08-2022;26.6
28-08-2022;25.5
29-08-2022;24.4
30-08-2022;25.7
31-08-2022;27.3
01-09-2022;25.5
02-09-2022;25
03-09-2022;26.4
04-09-2022;27.2
05-09-2022;27.1
06-09-2022;27.7
07-09-2022;24.6
08-09-2022;27.4
09-09-2022;27.4
10-09-2022;27.5
11-09-2022;27.9
12-09-2022;27.3
13-09-2022;26.1
14-09-2022;26.4
15-09-2022;27.1
16-09-2022;27.3
17-09-2022;26.7
18-09-2022;25.4
19-09-2022;26.6
20-09-2022;26.6
21-09-2022;26.3
22-09-2022;26.6
23-09-2022;27
24-09-2022;27.6
25-09-2022;27.6
26-09-2022;27.7
27-09-2022;27.8
28-09-2022;26.2
29-09-2022;27.1
30-09-2022;26.1
01-10-2022;27.1
02-10-2022;26
03-10-2022;27.5
04-10-2022;25.7
05-10-2022;26.6
06-10-2022;27.1
07-10-2022;26.4
08-10-2022;27.2
09-10-2022;26.7
10-10-2022;26.6
11-10-2022;27.2
12-10-2022;26.7
13-10-2022;26.8
14-10-2022;26.7
15-10-2022;25.8
16-10-2022;25.8
17-10-2022;27.2
18-10-2022;28.1
19-10-2022;26.5
20-10-2022;24.7
21-10-2022;25.7
22-10-2022;27.4
23-10-2022;27
24-10-2022;27.5
25-10-2022;27.2
26-10-2022;27.4
27-10-2022;27.6
28-10-2022;27.1
29-10-2022;28
30-10-2022;25.3
31-10-2022;27.1
01-11-2022;27.4
02-11-2022;27.7
03-11-2022;27.6
04-11-2022;27
05-11-2022;25.8
06-11-2022;26.9
07-11-2022;26.6
08-11-2022;27.6
09-11-2022;26.7
10-11-2022;26.1
11-11-2022;25.6
12-11-2022;26.1
13-11-2022;25.2
14-11-2022;26
15-11-2022;26.3
16-11-2022;24
17-11-2022;23.9
18-11-2022;25.3
19-11-2022;26.7
20-11-2022;26.7
21-11-2022;26.9
22-11-2022;25.6
23-11-2022;25
24-11-2022;25.3
25-11-2022;25.5
26-11-2022;27.1
27-11-2022;27.5
28-11-2022;27.2
29-11-2022;26.9
30-11-2022;27.4
01-12-2022;27.5
02-12-2022;25.9
03-12-2022;26.3
04-12-2022;24.3
05-12-2022;25.8
06-12-2022;26.6
07-12-2022;25.9
08-12-2022;26.5
09-12-2022;27.2
10-12-2022;25.7
11-12-2022;23.9
12-12-2022;24.3
13-12-2022;24.6
14-12-2022;26.7
15-12-2022;27.3
16-12-2022;28.4
17-12-2022;29
18-12-2022;28.5
19-12-2022;28.6
20-12-2022;28.8
21-12-2022;28.9
22-12-2022;27.2
23-12-2022;28.4
24-12-2022;27.2
25-12-2022;27.9
26-12-2022;27.5
27-12-2022;27.4
28-12-2022;26.9
29-12-2022;25.6
30-12-2022;24.2
31-12-2022;26.1
01-01-2023;27
02-01-2023;26.7
03-01-2023;27.1
04-01-2023;27.1
05-01-2023;27.8
06-01-2023;26.9
07-01-2023;25.7
08-01-2023;26.7
09-01-2023;27.4
10-01-2023;27.5
11-01-2023;27.3
12-01-2023;27.4
13-01-2023;27.7
14-01-2023;27.4
15-01-2023;27.3
16-01-2023;27.4
17-01-2023;26.2
18-01-2023;27.2
19-01-2023;26.9
20-01-2023;26.8
21-01-2023;26.8
22-01-2023;26.6
23-01-2023;25
24-01-2023;25.5
25-01-2023;26.8
26-01-2023;27.3
27-01-2023;25
28-01-2023;25.2
29-01-2023;27.3
30-01-2023;27.9
31-01-2023;27.4
01-02-2023;28.9
02-02-2023;28.2
03-02-2023;29
04-02-2023;27.2
05-02-2023;25.3
06-02-2023;27.6
07-02-2023;27.9
08-02-2023;26.9
09-02-2023;27.4
10-02-2023;28.8
11-02-2023;24.7
12-02-2023;26.9
13-02-2023;27.3
14-02-2023;28
15-02-2023;27.4
16-02-2023;28.1
17-02-2023;27.1
18-02-2023;28.3
19-02-2023;28.5
20-02-2023;28
21-02-2023;27
22-02-2023;27.2
23-02-2023;28
24-02-2023;27.5
25-02-2023;28
26-02-2023;28.6
27-02-2023;28.7
28-02-2023;28
01-03-2023;27.5
02-03-2023;26.7
03-03-2023;26.9
04-03-2023;26.9
05-03-2023;27.4
06-03-2023;27.6
07-03-2023;28.4
08-03-2023;28.2
09-03-2023;28.2
10-03-2023;27.9
11-03-2023;26.1
12-03-2023;27.3
13-03-2023;28.2
14-03-2023;28.1
15-03-2023;27.1
16-03-2023;28.7
17-03-2023;27.8
18-03-2023;28.4
19-03-2023;28.2
20-03-2023;28.3
21-03-2023;28
22-03-2023;26.7
23-03-2023;28
24-03-2023;28.3
25-03-2023;27.5
26-03-2023;28.1
27-03-2023;28.3
28-03-2023;28.5
29-03-2023;28.2
30-03-2023;25.8
31-03-2023;28.1
01-04-2023;28.1
02-04-2023;27.8
03-04-2023;28.5
04-04-2023;29.1
05-04-2023;27.4
06-04-2023;28.2
07-04-2023;28.1
08-04-2023;29
09-04-2023;29.2
10-04-2023;28.2
11-04-2023;28.4
12-04-2023;29.3
13-04-2023;28.7
14-04-2023;28.5
15-04-2023;27.6
16-04-2023;28.9
17-04-2023;28.5
18-04-2023;28.6
19-04-2023;29
20-04-2023;28.9
21-04-2023;29
22-04-2023;28
23-04-2023;29.2
24-04-2023;29.1
25-04-2023;28.3
26-04-2023;27.4
27-04-2023;28
28-04-2023;27
29-04-2023;27
30-04-2023;28.9
01-05-2023;28.7
02-05-2023;28.4
03-05-2023;29.1
04-05-2023;29.4
05-05-2023;27.7
06-05-2023;26.4
07-05-2023;25.1
08-05-2023;25.8
09-05-2023;28.4
10-05-2023;28.5
11-05-2023;28.9
12-05-2023;29.4
13-05-2023;28.8
14-05-2023;29.3
15-05-2023;28.8
16-05-2023;29.1
17-05-2023;29.1
18-05-2023;29.2
19-05-2023;27.7
20-05-2023;28.9
21-05-2023;28.9
22-05-2023;29.2
23-05-2023;29.2
24-05-2023;29
25-05-2023;28.5
26-05-2023;28.9
27-05-2023;28.4
28-05-2023;28.5
29-05-2023;27.5
30-05-2023;28.3
31-05-2023;27.8
01-06-2023;27.1
02-06-2023;29.3
03-06-2023;28.6
04-06-2023;28.8
05-06-2023;28.5
06-06-2023;28.4
07-06-2023;28.1
08-06-2023;28.1
09-06-2023;27.5
10-06-2023;27.9
11-06-2023;28.7
12-06-2023;28
13-06-2023;27.9
14-06-2023;28.8
15-06-2023;29.8
16-06-2023;29.7
17-06-2023;26.9
18-06-2023;27.9
19-06-2023;29.1
20-06-2023;29.3
21-06-2023;28.7
22-06-2023;29.2
23-06-2023;26.9
24-06-2023;28.1
25-06-2023;28.2
26-06-2023;27.2
27-06-2023;28
28-06-2023;28
29-06-2023;28.6
30-06-2023;25.8
01-07-2023;26.5
02-07-2023;27.2
03-07-2023;28.4
04-07-2023;28.3
05-07-2023;26.3
